0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:45 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:45 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:45 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:45 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:47 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Fhome%2Fmain HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:51 +0900] "POST /jsp_community_2021/usr/member/doLogin HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:52 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 11784
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:54 +0900] "GET /jsp_community_2021/usr/member/doLogout HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:54 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:54 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:43:55 +0900] "GET /jsp_community_2021/usr/member/join HTTP/1.1" 200 15554
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:44:00 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:44:00 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:46:57 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Fhome%2Fmain HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:47:00 +0900] "GET /jsp_community_2021/usr/member/findLoginId HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:47:01 +0900] "GET /jsp_community_2021/usr/member/findLoginPw HTTP/1.1" 200 11346
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:47:04 +0900] "GET /jsp_community_2021/usr/member/findLoginId HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:47:06 +0900] "GET /jsp_community_2021/usr/member/findLoginPw HTTP/1.1" 200 11346
